                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0264,                 1.3202,                0.87582,                      1,                0.14194,                 0.4141,                0.27807,                 1.0823,                 2.6402,                0.99978,                0.03364,              0.0046399,              0.0046399
                     36,                 1.2012,                 1.2034,                0.89273,                      1,                0.14194,                 0.4141,                0.27807,                 1.0823,                 2.6402,                0.99978,               0.031698,              0.0046983,              0.0046983
                     37,                 1.0689,                 1.5927,                 0.9037,                      1,                0.14398,                0.33716,                0.22823,                 1.1282,                 2.7469,                0.97688,               0.029753,              0.0047528,              0.0047528
                     38,                 1.1107,                 1.3907,                0.87732,                0.80462,                0.30571,                 0.4416,                 0.3102,                 1.0268,                 2.5504,                0.92333,               0.027803,              0.0048033,              0.0048033
                     39,                 1.1325,                 1.4458,                0.89941,                0.80462,                0.30571,                 0.4416,                 0.3102,                 1.0268,                 2.5504,                0.92333,                0.02585,              0.0048498,              0.0048498
                     40,                 1.0329,                   1.27,                0.88912,                0.73778,                0.31342,                0.45144,                0.30956,                 1.0646,                 2.5089,                0.93655,               0.023892,              0.0048924,              0.0048924
                     41,                 1.1303,                 1.3493,                0.90841,                0.71469,                 0.1856,                0.39622,                0.30711,                0.94476,                 2.4902,                0.91217,               0.021931,               0.004931,               0.004931
                     42,                 1.0674,                 1.2518,                0.87235,                0.71469,                 0.1856,                0.39622,                0.30711,                0.94476,                 2.4902,                0.91217,               0.019966,              0.0049657,              0.0049657
                     43,                 1.1656,                 1.2517,                0.90221,                0.76211,                0.22222,                0.42487,                0.30773,                 1.1114,                 2.4273,                0.94273,               0.017996,              0.0049964,              0.0049964
                     44,                 1.4134,                 1.3553,                0.91192,                0.76211,                0.22222,                0.42487,                0.30773,                 1.1114,                 2.4273,                0.94273,               0.016023,              0.0050232,              0.0050232
                     45,                  1.278,                 1.3135,                0.91687,                0.73035,                 0.2963,                0.44073,                0.35792,                0.98629,                 2.2201,                 0.9018,               0.014046,               0.005046,               0.005046
                     46,                 1.0483,                 1.1637,                0.88584,                0.73035,                 0.2963,                0.44073,                0.35792,                0.98629,                 2.2201,                 0.9018,               0.012065,              0.0050648,              0.0050648
                     47,                 1.1051,                 1.2229,                0.92646,                 0.5443,                0.37037,                0.44222,                0.32902,                 1.1073,                 1.9988,                 0.9434,                0.01008,              0.0050797,              0.0050797
                     48,                0.97608,                 1.1075,                0.89547,                 0.5443,                0.37037,                0.44222,                0.32902,                 1.1073,                 1.9988,                 0.9434,              0.0080906,              0.0050906,              0.0050906
                     49,                 1.2479,                 1.2227,                0.89851,                0.59006,                0.42696,                 0.4664,                0.36288,                 1.0158,                 1.9848,                0.94724,              0.0060975,              0.0050975,              0.0050975
                     50,                  1.115,                 1.0377,                0.89413,                0.59006,                0.42696,                 0.4664,                0.36288,                 1.0158,                 1.9848,                0.94724,                0.00505,                0.00505,                0.00505
                     51,                 1.2217,                 1.1665,                0.89071,                0.75542,                 0.4581,                0.55557,                0.42851,                 1.0672,                 1.9082,                 0.9361,                0.00505,                0.00505,                0.00505
                     52,                   1.05,                 1.1683,                 0.8845,                0.75542,                 0.4581,                0.55557,                0.42851,                 1.0672,                 1.9082,                 0.9361,               0.004951,               0.004951,               0.004951
                     53,                 1.0708,                 1.1711,                0.89673,                 0.8041,                0.45659,                0.52339,                0.39403,                 1.0713,                 2.1048,                0.93255,               0.004852,               0.004852,               0.004852
                     54,                 1.1077,                 1.0585,                0.89173,                 0.8041,                0.45659,                0.52339,                0.39403,                 1.0713,                 2.1048,                0.93255,               0.004753,               0.004753,               0.004753
                     55,                 1.0157,                 1.1014,                0.87532,                0.75906,                0.46726,                0.55071,                0.39225,                 1.1093,                 2.0349,                 0.9539,               0.004654,               0.004654,               0.004654
                     56,                 1.2185,                 1.0811,                0.87683,                0.75906,                0.46726,                0.55071,                0.39225,                 1.1093,                 2.0349,                 0.9539,               0.004555,               0.004555,               0.004555
                     57,                 1.1607,                 1.1368,                0.88508,                 0.7639,                0.51852,                 0.5921,                0.46144,                 1.0182,                  1.835,                0.94784,               0.004456,               0.004456,               0.004456
                     58,                 1.0421,                 1.1165,                0.89188,                 0.7639,                0.51852,                 0.5921,                0.46144,                 1.0182,                  1.835,                0.94784,               0.004357,               0.004357,               0.004357
                     59,                0.91363,                0.98549,                0.85321,                0.81175,                0.47925,                0.60127,                0.47754,                0.96164,                  1.767,                0.92519,               0.004258,               0.004258,               0.004258
                     60,                 1.0829,                 1.1285,                0.87552,                0.81175,                0.47925,                0.60127,                0.47754,                0.96164,                  1.767,                0.92519,               0.004159,               0.004159,               0.004159
