                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88594,                  3.396,                 1.0408,                  0.005,                      1,                0.09374,                0.06603,                0.67257,                 3.3244,                0.90574,                 0.0991,                 0.0001,                 0.0001
                      1,                0.84298,                 3.3034,                 0.9902,                  0.005,                      1,                0.09511,                0.06685,                0.66389,                 3.3163,                 0.9118,               0.097299,             0.00029851,             0.00029851
                      2,                0.85498,                 3.1715,                 1.0699,                  0.005,                      1,                0.11147,                0.07699,                0.65146,                 3.3156,                0.92664,               0.095495,             0.00049505,             0.00049505
                      3,                0.78771,                 3.2299,                 1.0255,                  0.005,                      1,                0.12388,                0.09001,                0.61951,                 3.2866,                0.91414,                0.09369,              0.0006896,              0.0006896
                      4,                0.64395,                 3.3977,                0.90489,                  0.005,                      1,                0.17839,                 0.1417,                0.60065,                 3.2484,                0.92074,               0.091882,             0.00088218,             0.00088218
                      5,                0.72962,                 3.1479,                  1.001,                  0.005,                      1,                0.20097,                0.15899,                 0.6007,                 3.2441,                0.94235,               0.090073,              0.0010728,              0.0010728
                      6,                0.61026,                 2.9833,                0.95903,                  0.005,                      1,                0.29878,                0.22076,                0.61069,                 3.2196,                0.95061,               0.088261,              0.0012614,              0.0012614
                      7,                0.58754,                 2.7316,                0.93206,                  0.005,                      1,                0.30251,                0.23385,                0.61591,                 3.1672,                0.92203,               0.086448,               0.001448,               0.001448
                      8,                0.70108,                 2.8751,                0.93864,                  0.005,                      1,                0.29657,                0.23366,                 0.6432,                 3.1639,                0.91491,               0.084633,              0.0016327,              0.0016327
                      9,                0.61919,                 2.4947,                0.90047,                  0.005,                      1,                0.29658,                0.23709,                0.64959,                 3.1543,                0.91155,               0.082815,              0.0018154,              0.0018154
                     10,                0.73607,                  2.594,                 0.9461,                  0.005,                      1,                0.30658,                0.25078,                0.65836,                 3.1288,                 0.9211,               0.080996,               0.001996,               0.001996
                     11,                0.56644,                 2.1789,                0.91823,                  0.005,                      1,                0.30787,                0.25595,                0.65578,                 3.1037,                0.91682,               0.079175,              0.0021748,              0.0021748
                     12,                 0.6821,                 2.3803,                0.92007,                0.00839,                0.83333,                0.32785,                0.27206,                0.64444,                   3.06,                0.91285,               0.077352,              0.0023515,              0.0023515
                     13,                0.48969,                 1.9778,                0.87882,                0.43664,                0.25941,                0.38787,                0.33188,                0.68483,                 3.0499,                0.94122,               0.075526,              0.0025263,              0.0025263
                     14,                0.66494,                 1.9867,                0.90582,                0.42663,                0.08333,                 0.3798,                0.31295,                 0.7399,                 3.0184,                0.92291,               0.073699,               0.002699,               0.002699
                     15,                0.66012,                 2.0415,                0.92344,                0.50622,                0.08333,                0.43243,                0.35015,                0.80105,                 3.0173,                 0.9721,                0.07187,              0.0028698,              0.0028698
                     16,                0.52785,                 1.5521,                0.85214,                0.78727,                0.16667,                0.41262,                 0.3487,                0.76159,                 2.9574,                0.97555,               0.070039,              0.0030386,              0.0030386
                     17,                0.59015,                 1.8461,                0.87166,                0.93725,                   0.25,                0.44718,                0.36791,                0.86423,                 2.9737,                 1.0091,               0.068205,              0.0032055,              0.0032055
                     18,                0.73545,                 1.9898,                0.88322,                0.89707,                   0.25,                0.45406,                0.36941,                0.81353,                 2.9368,                 1.0124,                0.06637,              0.0033703,              0.0033703
                     19,                0.57724,                 1.6188,                0.86335,                 0.7545,                   0.25,                0.46076,                0.38625,                0.79219,                 2.9068,                 1.0183,               0.064533,              0.0035332,              0.0035332
                     20,                0.58172,                 1.5818,                0.84488,                0.64721,                   0.25,                0.46444,                0.38672,                0.72381,                 2.8703,                0.98056,               0.062694,              0.0036941,              0.0036941
                     21,                0.67601,                 1.7236,                0.87447,                0.61092,                0.26365,                0.46932,                0.36941,                0.75396,                 2.8602,                 0.9589,               0.060853,               0.003853,               0.003853
                     22,                0.58853,                 1.6053,                0.88706,                0.60225,                   0.25,                0.48848,                0.38873,                0.75161,                 2.8115,                0.97373,                0.05901,              0.0040099,              0.0040099
                     23,                0.60669,                  1.476,                0.86872,                0.63684,                0.29605,                0.48675,                0.36844,                0.80241,                 2.7622,                  0.967,               0.057165,              0.0041649,              0.0041649
                     24,                0.70411,                 1.5361,                0.92028,                0.58287,                0.23573,                0.51892,                0.38548,                0.87691,                 2.7872,                 1.0133,               0.055318,              0.0043179,              0.0043179
                     25,                0.58535,                 1.3895,                0.86405,                0.74011,                0.24011,                0.48924,                0.34081,                0.84802,                 2.8542,                 1.0491,               0.053469,              0.0044689,              0.0044689
                     26,                0.51083,                 1.4117,                0.86371,                0.66727,                0.16667,                0.44754,                 0.3338,                0.79008,                 2.8975,                 1.0183,               0.051618,              0.0046179,              0.0046179
                     27,                0.64045,                 1.4994,                0.91885,                0.66727,                0.16667,                0.44754,                 0.3338,                0.79008,                 2.8975,                 1.0183,               0.049765,              0.0047649,              0.0047649
                     28,                0.63955,                 1.5297,                0.94873,                 0.8673,                   0.25,                0.44199,                 0.3502,                0.76252,                 2.8741,                 1.0182,                0.04791,                0.00491,                0.00491
                     29,                0.66913,                 1.4216,                0.88856,                0.84876,                   0.25,                0.39758,                0.31932,                0.75631,                 2.8439,                 1.0469,               0.046053,              0.0050531,              0.0050531
                     30,                0.53316,                 1.1761,                0.86621,                0.84876,                   0.25,                0.39758,                0.31932,                0.75631,                 2.8439,                 1.0469,               0.044194,              0.0051941,              0.0051941
                     31,                0.69537,                 1.3918,                 1.0012,                0.86931,                   0.25,                0.38821,                0.31016,                0.78904,                 2.8963,                  1.045,               0.042333,              0.0053333,              0.0053333
                     32,                0.60286,                 1.3736,                0.89883,                0.65763,                0.16215,                0.34086,                0.27211,                0.83061,                 2.9525,                 1.0811,                0.04047,              0.0054704,              0.0054704
                     33,                0.59207,                 1.3134,                0.90383,                0.65763,                0.16215,                0.34086,                0.27211,                0.83061,                 2.9525,                 1.0811,               0.038606,              0.0056056,              0.0056056
                     34,                0.65263,                 1.2306,                0.88774,                      1,                0.16061,                0.35083,                0.28582,                0.86727,                 2.9864,                 1.1063,               0.036739,              0.0057387,              0.0057387
                     35,                0.55925,                 1.1524,                0.85476,                0.37133,                0.08333,                 0.2999,                0.25693,                0.88939,                  3.013,                 1.1373,                0.03487,              0.0058699,              0.0058699
                     36,                0.68548,                 1.2503,                0.90173,                0.37133,                0.08333,                 0.2999,                0.25693,                0.88939,                  3.013,                 1.1373,               0.032999,              0.0059991,              0.0059991
                     37,                 0.5932,                 1.1123,                0.88492,                0.60265,                0.25332,                0.30819,                0.23493,                 1.0077,                  3.049,                 1.2146,               0.031126,              0.0061264,              0.0061264
                     38,                0.57299,                 1.0034,                0.88052,                0.67974,                0.35622,                0.39734,                0.25864,                 1.0442,                 2.8988,                 1.2244,               0.029252,              0.0062516,              0.0062516
                     39,                0.67555,                 1.2525,                0.92347,                0.67974,                0.35622,                0.39734,                0.25864,                 1.0442,                 2.8988,                 1.2244,               0.027375,              0.0063749,              0.0063749
                     40,                0.66118,                 1.1874,                0.88236,                0.67561,                0.34899,                0.42979,                0.28306,                 1.1805,                 2.8424,                 1.2701,               0.025496,              0.0064962,              0.0064962
                     41,                0.62499,                 1.2714,                0.97302,                      1,                0.24596,                0.39218,                0.27834,                 1.0144,                  3.034,                 1.2421,               0.023616,              0.0066155,              0.0066155
                     42,                0.64258,                  1.208,                0.90057,                      1,                0.24596,                0.39218,                0.27834,                 1.0144,                  3.034,                 1.2421,               0.021733,              0.0067329,              0.0067329
                     43,                0.64987,                 1.2506,                0.89447,                0.71771,                0.16667,                0.39676,                0.32366,                0.92487,                 2.9269,                 1.1973,               0.019848,              0.0068482,              0.0068482
                     44,                0.69626,                 1.1536,                0.96503,                0.71771,                0.16667,                0.39676,                0.32366,                0.92487,                 2.9269,                 1.1973,               0.017962,              0.0069616,              0.0069616
                     45,                0.66947,                 1.1649,                0.90051,                0.88416,                0.33333,                0.63096,                0.49955,                0.95881,                 2.7802,                 1.2127,               0.016073,               0.007073,               0.007073
                     46,                0.64961,                 1.2048,                0.89083,                0.88416,                0.33333,                0.63096,                0.49955,                0.95881,                 2.7802,                 1.2127,               0.014182,              0.0071824,              0.0071824
